ano_eleicao;sigla_uf;nome_municipio;descricao_cargo;num_turno;numero_zona;sigla_partido;nome_candidato;nome_urna_candidato;numero_cand;desc_sit_cand_superior;desc_sit_candidato;desc_sit_cand_tot;total_votos
2004;SP;NANTES;PREFEITO;1;106;PTB;MARCOS VENÍCIO ZAGO DE OLIVEIRA;MARCOS;14;;DEFERIDO;ELEITO;791
2004;SP;NANTES;PREFEITO;1;106;PP;JORGE LUIZ SOUZA PINTO;SEU ZÉ;11;;DEFERIDO;NÃO ELEITO;757
2004;SP;NANTES;PREFEITO;1;106;PSDB;RONALDO PEREIRA DE ANDRADE;RONALDO, ONDA;45;;DEFERIDO;NÃO ELEITO;48
2004;SP;NARANDIBA;PREFEITO;1;261;PT;GABRIEL VASSILIOS PIPERAS;GABRIEL;13;;DEFERIDO;ELEITO;1305
2004;SP;NARANDIBA;PREFEITO;1;261;PSDB;CLAUDIO FERREIRA DOS SANTOS;CLAUDIO FERREIRA;45;;DEFERIDO;NÃO ELEITO;1218
2004;SP;NATIVIDADE DA SERRA;PREFEITO;1;84;PPS;JOÃO BATISTA DE CARVALHO;JOÃO CARVALHO;23;;DEFERIDO;ELEITO;1722
2004;SP;NATIVIDADE DA SERRA;PREFEITO;1;84;PSDB;BENEDITO CARLOS DE CAMPOS SILVA;DITO CARLOS;45;;DEFERIDO;NÃO ELEITO;1712
2004;SP;NATIVIDADE DA SERRA;PREFEITO;1;84;PMDB;MIRON DANVERS FERNANDES;MIRON;15;;DEFERIDO;NÃO ELEITO;1567
2004;SP;NAZARE PAULISTA;PREFEITO;1;16;PFL;MARIO ANTONIO PINHEIRO;NENE PINHEIRO;25;;DEFERIDO;ELEITO;4938
2004;SP;NAZARE PAULISTA;PREFEITO;1;16;PSDB;ANTONIO DOS SANTOS;CANHOTEIRO;45;;DEFERIDO;NÃO ELEITO;1706
2004;SP;NAZARE PAULISTA;PREFEITO;1;16;PTN;JOSÉ LUIZ PINHEIRO;ZÉ LUIZ;19;;DEFERIDO;NÃO ELEITO;1301
2004;SP;NAZARE PAULISTA;PREFEITO;1;16;PTB;JOSE ANTONIO DE MORAES;ZÉ ANTONIO;14;;DEFERIDO;NÃO ELEITO;455
2004;SP;NAZARE PAULISTA;PREFEITO;1;16;PV;JOSÉ RICARDO RAMOS;RICARDO RAMOS;43;;DEFERIDO;NÃO ELEITO;442
2004;SP;NEVES PAULISTA;PREFEITO;1;72;PFL;OCTAVIO MARTINS GARCIA FILHO;TAVINHO;25;;DEFERIDO;ELEITO;3872
2004;SP;NEVES PAULISTA;PREFEITO;1;72;PSDB;FRANCISCO MODESTO VIUDES VASQUES;DR. FRANCISCO;45;;DEFERIDO;NÃO ELEITO;2128
2004;SP;NHANDEARA;PREFEITO;1;162;PSDB;NELSON MAGALHAES NEVES;NELSON MAGALHAES;45;;DEFERIDO;ELEITO;2478
2004;SP;NHANDEARA;PREFEITO;1;162;PSB;OZINIO ODILON DA SILVEIRA;DR. ODILON;40;;DEFERIDO;NÃO ELEITO;2427
2004;SP;NHANDEARA;PREFEITO;1;162;PL;FABRÍCIO MENEZES MARCOLINO;FABRÍCIO;22;;DEFERIDO;NÃO ELEITO;1479
2004;SP;NHANDEARA;PREFEITO;1;162;PT;SILVO MELEGA;SILVO MELEGA;13;;DEFERIDO;NÃO ELEITO;200
2004;SP;NIPOA;PREFEITO;1;77;PTB;ANTONIO CARLOS RIBEIRO;BOCA;14;;DEFERIDO;ELEITO;1000
2004;SP;NIPOA;PREFEITO;1;77;PP;LUCIANO CEZAR SCALON;LUCIANO SCALON;11;;DEFERIDO;NÃO ELEITO;841
